dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
rmftsa,rfc-nosuite,0.48828125,0.7121666666666667,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.82,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.429,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.52,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.42683730158730154,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6702857142857143,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6414067321567322,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.3321428571428571,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6853333333333335,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5189999999999999,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.8230952380952381,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.514142857142857,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5757976190476191,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.88,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.5973333333333334,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.4328333333333333,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.74,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.74,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.89,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5813382173382172,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.74,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.72,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.86,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6383095238095238,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.97,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.95,3.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.98,3.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.97,3.0,2.0,0.0,0.0,3.0,2.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.89,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,2.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,3.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.97,3.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.98,3.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.85,1.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.43,5.0,3.0,0.0,0.0,3.0,,5.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.79,6.0,3.0,0.0,0.0,5.0,,4.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.7,6.0,5.0,0.0,0.0,4.0,,4.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.74,3.0,3.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.8,6.0,2.0,0.0,0.0,4.0,,3.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.42,6.0,4.0,0.0,0.0,5.0,,6.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.67,6.0,2.0,0.0,0.0,4.0,,4.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.47,4.0,3.0,0.0,0.0,6.0,,6.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.57,6.0,5.0,0.0,0.0,6.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.72,6.0,2.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.86,6.0,2.0,0.0,0.0,4.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.86,6.0,4.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.59,6.0,3.0,0.0,0.0,4.0,,4.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.55,6.0,3.0,0.0,0.0,4.0,,6.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.72,3.0,2.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.48,5.0,2.0,0.0,0.0,5.0,,4.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.56,5.0,4.0,0.0,0.0,4.0,,3.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.73,5.0,5.0,0.0,0.0,4.0,,4.0,7.0
yeast,rfc-nosuite,0.6226415094339622,0.6,4.0,3.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.64,6.0,4.0,0.0,0.0,4.0,,4.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.77,6.0,3.0,0.0,0.0,3.0,,2.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.74,6.0,4.0,0.0,0.0,5.0,,4.0,2.0
yeast,rfc-nosuite,0.6226415094339622,0.9,6.0,3.0,0.0,0.0,4.0,,4.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.42,6.0,6.0,0.0,0.0,4.0,,5.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.54,5.0,3.0,0.0,0.0,4.0,,4.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.4,5.0,4.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.52,5.0,4.0,0.0,0.0,5.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.51,5.0,4.0,0.0,0.0,4.0,,4.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.78,5.0,4.0,0.0,0.0,5.0,,6.0,7.0
yeast,rfc-nosuite,0.6226415094339622,0.64,6.0,5.0,0.0,0.0,3.0,,5.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.51,6.0,4.0,0.0,0.0,4.0,,5.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.75,4.0,2.0,0.0,0.0,3.0,,5.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.32,6.0,5.0,0.0,0.0,6.0,,5.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.37,6.0,3.0,0.0,0.0,6.0,,6.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.63,5.0,2.0,0.0,0.0,2.0,,2.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.45,6.0,5.0,0.0,0.0,4.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.42,5.0,3.0,0.0,0.0,5.0,,6.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.92,4.0,4.0,0.0,0.0,4.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.73,5.0,3.0,0.0,0.0,4.0,,4.0,2.0
yeast,rfc-nosuite,0.6226415094339622,0.44,5.0,2.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.64,6.0,5.0,0.0,0.0,3.0,,3.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.57,6.0,5.0,0.0,0.0,4.0,,4.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.47,6.0,3.0,0.0,0.0,3.0,,5.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.56,6.0,2.0,0.0,0.0,4.0,,4.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.76,5.0,2.0,0.0,0.0,5.0,,3.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.55,6.0,3.0,0.0,0.0,5.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.41,5.0,2.0,0.0,0.0,4.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.55,6.0,3.0,0.0,0.0,5.0,,5.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.79,6.0,3.0,0.0,0.0,4.0,,4.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.85,6.0,3.0,0.0,0.0,3.0,,3.0,8.0
rmftsa,rfc-nosuite,0.48828125,0.3562142857142858,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.4576666666666667,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6425,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.8478333333333333,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.614280303030303,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.8540349927849925,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.2751865079365079,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.8464378399378396,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.8261904761904763,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5813382173382172,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.59075,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.861,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6853333333333335,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6778594852859559,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.39428571428571435,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.4970714285714286,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5813382173382172,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.58,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.9611111111111111,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6005757575757573,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.3537380952380953,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6685,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.6693243284493282,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.7121666666666667,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.82,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.429,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.52,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.42683730158730154,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6702857142857143,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6414067321567322,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.3321428571428571,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6853333333333335,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5189999999999999,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.8230952380952381,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.514142857142857,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5757976190476191,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.88,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.5973333333333334,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.4328333333333333,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.74,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.74,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
rmftsa,rfc-nosuite,0.48828125,0.89,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.5813382173382172,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.74,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.72,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.86,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,rfc-nosuite,0.48828125,0.6383095238095238,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.97,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.95,3.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.98,3.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.97,3.0,2.0,0.0,0.0,3.0,2.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.89,3.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,2.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,3.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.97,3.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.98,3.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.85,1.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0
banknote-authentication,rfc-nosuite,0.9941690962099126,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,3.0,1.0,0.0,0.0,3.0,1.0,3.0,3.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.99,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
banknote-authentication,rfc-nosuite,0.9941690962099126,0.94,3.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0
volcanoes-a2,rfc-nosuite,0.9310344827586207,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0
volcanoes-a2,rfc-nosuite,0.9310344827586207,0.96,1.0,2.0,0.0,0.0,1.0,2.0,,1.0
volcanoes-a2,rfc-nosuite,0.9310344827586207,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
volcanoes-a2,rfc-nosuite,0.9310344827586207,0.97,2.0,0.0,0.0,0.0,1.0,1.0,,1.0
volcanoes-a2,rfc-nosuite,0.9310344827586207,0.74,1.0,1.0,0.0,0.0,1.0,1.0,,3.0
volcanoes-a2,rfc-nosuite,0.9310344827586207,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,1.0
